2010-02-24T15:47:42; Entrou; 301; Atualização de lista de ativos; 8
2010-02-24T15:47:47; Saiu; 100; Ativo completo; 26689
2010-02-24T15:47:47; Entrou; 100; Requisição de ativo; 20
2010-02-24T15:53:39; Saiu; 1; Autenticação ok; 8
2010-02-24T15:53:39; Entrou; 1; Autenticando; 94
2010-02-24T15:53:39; Saiu; 3; Sessão; 8
2010-02-24T15:53:39; Entrou; 2; Requisição de sessão; 4
2010-02-24T15:53:39; Saiu; 6; Aguardando sessão; 8
2010-02-24T15:53:39; Entrou; 1000; Id da Sessão; 104
2010-02-24T15:53:39; Saiu; 4; Sessão autenticada; 8
2010-02-24T15:53:39; Saiu; 7; Versão do protocolo; 22
2010-02-24T15:53:40; Saiu; 302; Lista de ativos em dia; 8
2010-02-24T15:53:40; Entrou; 301; Atualização de lista de ativos; 8
2010-02-24T15:54:10; Saiu; 100; Ativo completo; 26689
2010-02-24T15:54:10; Entrou; 100; Requisição de ativo; 20
2010-02-24T16:05:59; Saiu; 1; Autenticação ok; 8
2010-02-24T16:05:59; Entrou; 1; Autenticando; 94
2010-02-24T16:05:59; Saiu; 3; Sessão; 8
2010-02-24T16:05:59; Entrou; 2; Requisição de sessão; 4
2010-02-24T16:05:59; Saiu; 6; Aguardando sessão; 8
2010-02-24T16:05:59; Entrou; 1000; Id da Sessão; 104
2010-02-24T16:05:59; Saiu; 4; Sessão autenticada; 8
2010-02-24T16:05:59; Saiu; 7; Versão do protocolo; 22
2010-02-24T16:06:00; Saiu; 302; Lista de ativos em dia; 8
2010-02-24T16:06:00; Entrou; 301; Atualização de lista de ativos; 8
2010-02-24T16:06:04; Saiu; 100; Ativo completo; 26689
2010-02-24T16:06:04; Entrou; 100; Requisição de ativo; 20
2010-02-24T16:07:30; Saiu; 1; Autenticação ok; 8
2010-02-24T16:07:30; Entrou; 1; Autenticando; 94
2010-02-24T16:07:30; Saiu; 3; Sessão; 8
2010-02-24T16:07:30; Entrou; 2; Requisição de sessão; 4
2010-02-24T16:07:30; Saiu; 6; Aguardando sessão; 8
2010-02-24T16:07:30; Entrou; 1000; Id da Sessão; 104
2010-02-24T16:07:30; Saiu; 4; Sessão autenticada; 8
2010-02-24T16:07:30; Saiu; 7; Versão do protocolo; 22
2010-02-24T16:07:30; Saiu; 302; Lista de ativos em dia; 8
2010-02-24T16:07:30; Entrou; 301; Atualização de lista de ativos; 8
2010-02-24T16:07:40; Saiu; 100; Ativo completo; 26689
2010-02-24T16:07:40; Entrou; 100; Requisição de ativo; 20
2010-02-24T16:12:04; Saiu; 1; Autenticação ok; 8
2010-02-24T16:12:04; Entrou; 1; Autenticando; 94
2010-02-24T16:12:04; Saiu; 3; Sessão; 8
2010-02-24T16:12:04; Entrou; 2; Requisição de sessão; 4
2010-02-24T16:12:04; Saiu; 6; Aguardando sessão; 8
2010-02-24T16:12:04; Entrou; 1000; Id da Sessão; 104
2010-02-24T16:12:04; Saiu; 4; Sessão autenticada; 8
2010-02-24T16:12:04; Saiu; 7; Versão do protocolo; 22
2010-02-24T16:12:04; Saiu; 302; Lista de ativos em dia; 8
2010-02-24T16:12:04; Entrou; 301; Atualização de lista de ativos; 8
2010-02-24T16:12:12; Saiu; 100; Ativo completo; 26689
2010-02-24T16:12:13; Entrou; 100; Requisição de ativo; 20
2010-02-24T16:33:48; Saiu; 1; Autenticação ok; 8
2010-02-24T16:33:48; Entrou; 1; Autenticando; 94
2010-02-24T16:33:48; Saiu; 3; Sessão; 8
2010-02-24T16:33:48; Entrou; 2; Requisição de sessão; 4
2010-02-24T16:33:48; Saiu; 6; Aguardando sessão; 8
2010-02-24T16:33:48; Entrou; 1000; Id da Sessão; 104
2010-02-24T16:33:48; Saiu; 4; Sessão autenticada; 8
2010-02-24T16:33:48; Saiu; 7; Versão do protocolo; 22
2010-02-24T16:33:48; Saiu; 302; Lista de ativos em dia; 8
2010-02-24T16:33:48; Entrou; 301; Atualização de lista de ativos; 8
2010-02-24T16:34:04; Saiu; 100; Ativo completo; 149125
2010-02-24T16:34:04; Entrou; 100; Requisição de ativo; 18
2010-02-24T17:33:02; Saiu; 1; Autenticação ok; 8
2010-02-24T17:33:02; Entrou; 1; Autenticando; 94
2010-02-24T17:33:02; Saiu; 3; Sessão; 8
2010-02-24T17:33:02; Entrou; 2; Requisição de sessão; 4
2010-02-24T17:33:02; Saiu; 6; Aguardando sessão; 8
2010-02-24T17:33:02; Entrou; 1000; Id da Sessão; 104
2010-02-24T17:33:02; Saiu; 4; Sessão autenticada; 8
2010-02-24T17:33:02; Saiu; 7; Versão do protocolo; 22
2010-02-24T17:33:02; Saiu; 302; Lista de ativos em dia; 8
2010-02-24T17:33:02; Entrou; 301; Atualização de lista de ativos; 8
2010-02-24T17:33:22; Saiu; 100; Ativo completo; 65035
2010-02-24T17:33:22; Entrou; 100; Requisição de ativo; 20
2010-02-24T17:38:20; Saiu; 1; Autenticação ok; 8
2010-02-24T17:38:20; Entrou; 1; Autenticando; 94
2010-02-24T17:38:20; Saiu; 3; Sessão; 8
2010-02-24T17:38:20; Entrou; 2; Requisição de sessão; 4
2010-02-24T17:38:21; Saiu; 6; Aguardando sessão; 8
2010-02-24T17:38:21; Entrou; 1000; Id da Sessão; 104
2010-02-24T17:38:21; Saiu; 4; Sessão autenticada; 8
2010-02-24T17:38:21; Saiu; 7; Versão do protocolo; 22
2010-02-24T17:38:38; Saiu; 300; Lista de ativos; 1020528
2010-02-24T17:38:40; Entrou; 300; Requisição de lista de ativos; 4
2010-02-24T18:26:04; Saiu; 1; Autenticação ok; 8
2010-02-24T18:26:04; Entrou; 1; Autenticando; 94
2010-02-24T18:26:04; Saiu; 3; Sessão; 8
2010-02-24T18:26:04; Entrou; 2; Requisição de sessão; 4
2010-02-24T18:26:04; Saiu; 6; Aguardando sessão; 8
2010-02-24T18:26:04; Entrou; 1000; Id da Sessão; 104
2010-02-24T18:26:04; Saiu; 4; Sessão autenticada; 8
2010-02-24T18:26:04; Saiu; 7; Versão do protocolo; 22
2010-02-24T18:26:04; Saiu; 302; Lista de ativos em dia; 8
2010-02-24T18:26:04; Entrou; 301; Atualização de lista de ativos; 8
2010-02-24T18:26:18; Saiu; 100; Ativo completo; 512219
2010-02-24T18:26:18; Entrou; 100; Requisição de ativo; 18
2010-02-24T18:26:41; Saiu; 100; Ativo completo; 344807
2010-02-24T18:26:41; Entrou; 100; Requisição de ativo; 18
2010-02-24T18:26:41; Saiu; 108; ; 453
2010-02-24T18:26:41; Entrou; 100; Requisição de ativo; 20
2010-02-24T18:26:57; Saiu; 108; ; 405
2010-02-24T18:26:57; Entrou; 100; Requisição de ativo; 20
2010-02-24T18:27:00; Saiu; 100; Ativo completo; 193105
2010-02-24T18:27:00; Entrou; 100; Requisição de ativo; 20
2010-02-24T20:19:40; Saiu; 1; Autenticação ok; 8
2010-02-24T20:19:40; Entrou; 1; Autenticando; 94
2010-02-24T20:19:40; Saiu; 3; Sessão; 8
2010-02-24T20:19:40; Entrou; 2; Requisição de sessão; 4
2010-02-24T20:19:40; Saiu; 6; Aguardando sessão; 8
2010-02-24T20:19:40; Entrou; 1000; Id da Sessão; 104
2010-02-24T20:19:40; Saiu; 4; Sessão autenticada; 8
2010-02-24T20:19:40; Saiu; 7; Versão do protocolo; 22
2010-02-24T20:19:40; Saiu; 302; Lista de ativos em dia; 8
2010-02-24T20:19:40; Entrou; 301; Atualização de lista de ativos; 8
2010-02-24T20:19:52; Saiu; 100; Ativo completo; 1317
2010-02-24T20:19:52; Entrou; 100; Requisição de ativo; 18
2010-02-24T20:20:08; Saiu; 100; Ativo completo; 11243
2010-02-24T20:20:08; Entrou; 100; Requisição de ativo; 18
2010-02-25T10:05:13; Saiu; 1; Autenticação ok; 8
2010-02-25T10:05:13; Entrou; 1; Autenticando; 94
2010-02-25T10:05:13; Saiu; 3; Sessão; 8
2010-02-25T10:05:13; Entrou; 2; Requisição de sessão; 4
2010-02-25T10:05:14; Saiu; 6; Aguardando sessão; 8
2010-02-25T10:05:14; Entrou; 1000; Id da Sessão; 104
2010-02-25T10:07:16; Saiu; 1; Autenticação ok; 8
2010-02-25T10:07:16; Entrou; 1; Autenticando; 94
2010-02-25T10:07:16; Saiu; 3; Sessão; 8
2010-02-25T10:07:16; Entrou; 2; Requisição de sessão; 4
2010-02-25T10:07:16; Saiu; 6; Aguardando sessão; 8
2010-02-25T10:07:16; Entrou; 1000; Id da Sessão; 104
2010-02-25T10:09:47; Saiu; 1; Autenticação ok; 8
2010-02-25T10:09:47; Entrou; 1; Autenticando; 94
2010-02-25T10:09:47; Saiu; 3; Sessão; 8
2010-02-25T10:09:47; Entrou; 2; Requisição de sessão; 4
2010-02-25T10:09:47; Saiu; 6; Aguardando sessão; 8
2010-02-25T10:09:47; Entrou; 1000; Id da Sessão; 104
